,mukey,compweighted
0,183024,0.5346284970301453
1,183025,1.4733333333333334
2,183054,0.1840824001984285
3,183070,0.27308366951972146
4,208703,0.8443269230769231
5,209019,0.7029530046224962
6,244618,0.8311373379627953
7,244623,2.5524938271604936
8,244688,0.1113270737453192
9,244689,0.13527921628129433
10,244814,0.2542506047595107
11,244815,0.285
12,396132,0.21565357736839572
13,396133,0.148270725766622
14,396153,0.3266583620478905
15,396157,0.2891200604999142
16,396161,0.2556234607601817
17,399774,0.5932098765432098
18,399776,0.4700510364225896
19,399777,1.3829035752979415
20,399778,0.3470262963526464
21,399779,1.3829035752979415
22,399781,0.8409646072498185
23,399787,0.8800175143617767
24,399792,0.3610489068779131
25,399796,0.39827499138731404
26,399800,1.334207232469743
27,399802,1.2965976691181618
28,399803,1.2965976691181613
29,399804,1.8736340177456268
30,399805,0.6589678111501656
31,399809,2.3336138433515483
32,403211,0.34536319228754603
33,403212,0.3453631922875461
34,403217,0.14554703271650465
35,403232,0.0753285428100385
36,403234,0.17224043738132175
37,403236,0.06131869943606874
38,403240,0.46721158966676085
39,403266,0.08692460020807305
40,403268,0.1614690425065199
41,403269,0.0738044174808277
42,435526,0.6971933618305256
43,435686,0.17397803799798003
44,435877,0.687708066581306
45,1150789,0.1507076334275454
46,1150801,0.17658184254915207
47,1150810,0.2150185591732692
48,1150813,0.3419401132538854
49,1595766,0.2808482624373688
50,1595801,0.5614569940804315
51,1596000,0.8674787657400809
52,1596009,1.3409747706422017
53,1596035,0.15711035975622806
54,1596037,0.39098396896444443
55,1596039,0.3825081966793005
56,1612280,0.45782093288726144
57,2518531,1.2007038581856098
58,2668945,0.1309506131073685
59,2669022,0.47108546820491726
60,2669024,0.29431608989434965
61,2745864,0.18152110304038832
62,3004698,0.1988036405522819
63,3182556,0.1252460545914404
64,3182557,0.16075090839213835
65,3182562,0.10652602365583937
66,3182568,0.12982491222347042
